"기준_년분기_코드","행정동_코드","행정동_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20213","11440585","도화동","CS200024","스포츠클럽","9","10","0","0","20","2","1"
"20213","11440585","도화동","CS200025","자동차수리","3","4","0","0","0","0","1"
"20213","11440585","도화동","CS200028","미용실","37","42","7","3","2","1","5"
"20213","11440585","도화동","CS200029","네일숍","14","14","7","1","0","0","0"
"20213","11440585","도화동","CS200030","피부관리실","21","22","5","1","5","1","1"
"20213","11440585","도화동","CS200031","세탁소","13","16","0","0","6","1","3"
"20213","11440585","도화동","CS200032","가전제품수리","4","4","0","0","0","0","0"
"20213","11440585","도화동","CS200033","부동산중개업","110","110","4","4","4","4","0"
"20213","11440585","도화동","CS200034","여관","3","3","0","0","0","0","0"
"20213","11440585","도화동","CS200035","게스트하우스","10","10","0","0","0","0","0"
"20213","11440585","도화동","CS200037","노래방","23","23","0","0","4","1","0"
"20213","11440585","도화동","CS200038","독서실","2","3","0","0","0","0","1"
"20213","11440585","도화동","CS200040","녹음실","1","1","0","0","0","0","0"
"20213","11440585","도화동","CS200041","사진관","9","9","11","1","11","1","0"
"20213","11440585","도화동","CS200042","통번역서비스","10","10","0","0","0","0","0"
"20213","11440585","도화동","CS200043","건축물청소","7","7","14","1","0","0","0"
"20213","11440585","도화동","CS200044","여행사","54","54","0","0","2","1","0"
"20213","11440585","도화동","CS200047","가정용품임대","5","5","0","0","0","0","0"
"20213","11440585","도화동","CS300001","슈퍼마켓","12","21","0","0","0","0","9"
"20213","11440585","도화동","CS300002","편의점","3","20","5","1","0","0","17"
"20213","11440585","도화동","CS300003","컴퓨터및주변장치판매","51","51","0","0","0","0","0"
"20213","11440585","도화동","CS300004","핸드폰","13","13","0","0","8","1","0"
"20213","11440585","도화동","CS300005","주류도매","1","1","0","0","0","0","0"
"20213","11440585","도화동","CS300006","미곡판매","5","5","0","0","0","0","0"
"20213","11440585","도화동","CS300007","육류판매","9","9","11","1","0","0","0"
"20213","11440585","도화동","CS300008","수산물판매","4","4","0","0","0","0","0"
"20213","11440585","도화동","CS300009","청과상","16","16","0","0","0","0","0"
"20213","11440585","도화동","CS300010","반찬가게","23","23","4","1","0","0","0"
"20213","11440585","도화동","CS300011","일반의류","39","39","3","1","3","1","0"
"20213","11440585","도화동","CS300013","유아의류","2","4","0","0","0","0","2"
"20213","11440585","도화동","CS300014","신발","3","3","0","0","0","0","0"
"20213","11440585","도화동","CS300015","가방","6","6","0","0","0","0","0"
"20213","11440585","도화동","CS300016","안경","4","6","0","0","0","0","2"
"20213","11440585","도화동","CS300017","시계및귀금속","6","6","0","0","0","0","0"
"20213","11440585","도화동","CS300018","의약품","24","26","0","0","0","0","2"
"20213","11440585","도화동","CS300019","의료기기","12","12","0","0","0","0","0"
"20213","11440585","도화동","CS300020","서적","11","11","9","1","0","0","0"
"20213","11440585","도화동","CS300021","문구","10","11","0","0","0","0","1"
"20213","11440585","도화동","CS300022","화장품","40","41","0","0","2","1","1"
"20213","11440585","도화동","CS300023","미용재료","2","2","0","0","0","0","0"
"20213","11440585","도화동","CS300024","운동/경기용품","4","4","0","0","25","1","0"
"20213","11440585","도화동","CS300026","완구","2","2","0","0","0","0","0"
"20213","11440585","도화동","CS300027","섬유제품","6","6","0","0","0","0","0"
"20213","11440585","도화동","CS300028","화초","12","12","0","0","8","1","0"
"20213","11440585","도화동","CS300031","가구","3","3","0","0","0","0","0"
"20213","11440585","도화동","CS300032","가전제품","3","3","0","0","0","0","0"
"20213","11440585","도화동","CS300033","철물점","4","4","0","0","0","0","0"
"20213","11440585","도화동","CS300035","인테리어","7","7","0","0","0","0","0"
"20213","11440585","도화동","CS300036","조명용품","22","22","0","0","0","0","0"
"20213","11440585","도화동","CS300037","중고차판매","3","3","0","0","0","0","0"
"20213","11440585","도화동","CS300038","자동차부품","5","5","0","0","0","0","0"
"20213","11440585","도화동","CS300039","모터사이클및부품","0","0","0","0","0","1","0"
"20213","11440585","도화동","CS300040","재생용품 판매점","5","5","0","0","0","0","0"
"20213","11440585","도화동","CS300041","예술품","5","5","0","0","0","0","0"
"20213","11440585","도화동","CS300043","전자상거래업","65","65","2","1","5","3","0"
"20213","11440590","용강동","CS100001","한식음식점","166","199","4","7","4","7","33"
"20213","11440590","용강동","CS100002","중식음식점","16","17","0","0","0","0","1"
"20213","11440590","용강동","CS100003","일식음식점","24","27","7","2","7","2","3"
"20213","11440590","용강동","CS100004","양식음식점","19","22","14","3","9","2","3"
"20213","11440590","용강동","CS100005","제과점","5","9","0","0","22","2","4"
"20213","11440590","용강동","CS100006","패스트푸드점","8","16","13","2","0","0","8"
"20213","11440590","용강동","CS100007","치킨전문점","5","16","0","0","6","1","11"
"20213","11440590","용강동","CS100008","분식전문점","16","24","4","1","8","2","8"
"20213","11440590","용강동","CS100009","호프-간이주점","56","63","8","5","0","0","7"
"20213","11440590","용강동","CS100010","커피-음료","52","65","8","5","2","1","13"
"20213","11440590","용강동","CS200001","일반교습학원","69","77","3","2","1","1","8"
"20213","11440590","용강동","CS200002","외국어학원","8","8","38","3","13","1","0"
"20213","11440590","용강동","CS200003","예술학원","37","42","5","2","2","1","5"
"20213","11440590","용강동","CS200004","컴퓨터학원","1","1","0","0","0","0","0"
"20213","11440590","용강동","CS200005","스포츠 강습","26","28","4","1","7","2","2"
"20213","11440590","용강동","CS200006","일반의원","13","13","0","0","15","2","0"
"20213","11440590","용강동","CS200007","치과의원","13","13","8","1","0","0","0"
"20213","11440590","용강동","CS200008","한의원","7","7","0","0","14","1","0"
"20213","11440590","용강동","CS200009","동물병원","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS200010","변호사사무소","6","6","0","0","0","0","0"
"20213","11440590","용강동","CS200011","변리사사무소","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS200012","법무사사무소","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS200013","기타법무서비스","29","29","0","0","0","0","0"
"20213","11440590","용강동","CS200014","회계사사무소","4","4","0","0","0","0","0"
"20213","11440590","용강동","CS200015","세무사사무소","35","35","0","0","0","0","0"
"20213","11440590","용강동","CS200016","당구장","12","12","25","3","0","0","0"
"20213","11440590","용강동","CS200017","골프연습장","12","12","0","0","0","0","0"
"20213","11440590","용강동","CS200019","PC방","2","2","0","0","0","0","0"
"20213","11440590","용강동","CS200021","기타오락장","0","0","0","0","0","1","0"
"20213","11440590","용강동","CS200023","통신기기수리","1","1","0","0","100","1","0"
"20213","11440590","용강동","CS200024","스포츠클럽","14","14","14","2","7","1","0"
"20213","11440590","용강동","CS200025","자동차수리","9","11","0","0","0","0","2"
"20213","11440590","용강동","CS200026","자동차미용","5","5","0","0","0","0","0"
"20213","11440590","용강동","CS200027","모터사이클수리","1","1","0","0","0","0","0"
"20213","11440590","용강동","CS200028","미용실","35","37","0","0","0","0","2"
"20213","11440590","용강동","CS200029","네일숍","7","7","0","0","0","0","0"
"20213","11440590","용강동","CS200030","피부관리실","10","12","0","0","0","0","2"
"20213","11440590","용강동","CS200031","세탁소","10","14","7","1","7","1","4"
"20213","11440590","용강동","CS200032","가전제품수리","5","5","0","0","0","0","0"
"20213","11440590","용강동","CS200033","부동산중개업","141","141","3","4","4","5","0"
"20213","11440590","용강동","CS200034","여관","1","1","0","0","0","0","0"
"20213","11440590","용강동","CS200037","노래방","19","19","0","0","16","3","0"
"20213","11440590","용강동","CS200038","독서실","8","8","25","2","13","1","0"
"20213","11440590","용강동","CS200040","녹음실","6","6","0","0","0","0","0"
"20213","11440590","용강동","CS200041","사진관","10","10","0","0","0","0","0"
"20213","11440590","용강동","CS200042","통번역서비스","13","13","0","0","0","0","0"
"20213","11440590","용강동","CS200043","건축물청소","11","11","0","0","18","2","0"
"20213","11440590","용강동","CS200044","여행사","102","102","0","0","1","1","0"
"20213","11440590","용강동","CS200045","비디오/서적임대","2","3","33","1","0","0","1"
"20213","11440590","용강동","CS200047","가정용품임대","3","3","0","0","0","0","0"
"20213","11440590","용강동","CS300001","슈퍼마켓","16","27","4","1","0","0","11"
"20213","11440590","용강동","CS300002","편의점","7","26","0","0","0","0","19"
"20213","11440590","용강동","CS300003","컴퓨터및주변장치판매","57","57","0","0","0","0","0"
